1;arms_factory;2752.00;9.93;1981.00;1.22;0
1;arms_factory;2734.00;9.88;1974.00;5.34;0
1;arms_factory;2748.00;9.82;1989.00;0.26;0
1;arms_factory;2769.00;9.73;1991.00;3.28;0
1;arms_factory;2743.00;10.18;1971.00;5.95;0
1;arms_factory;2738.00;9.93;1977.00;2.33;0
1;industrial_complex;2751.00;9.90;1982.00;0.17;0
1;industrial_complex;2748.00;9.90;1985.00;1.73;0
1;industrial_complex;2754.00;9.80;1990.00;4.39;0
1;industrial_complex;2765.00;9.80;1993.00;0.78;0
1;industrial_complex;2753.00;10.48;1966.00;4.90;0
1;industrial_complex;2746.00;10.10;1975.00;5.00;0
1;air_base;2755.00;10.10;1975.00;2.84;0
1;supply_node;2746.00;9.95;1981.00;0.95;0
1;supply_node;2763.00;9.93;1981.00;3.88;0
1;supply_node;2730.00;9.88;1971.00;0.18;0
1;supply_node;2753.00;9.80;1991.00;3.12;0
1;supply_node;2768.00;9.80;1990.00;4.60;0
1;supply_node;2757.00;10.32;1969.00;2.36;0
1;supply_node;2741.00;10.20;1966.00;3.84;0
1;naval_base;2738.00;9.55;1983.00;-2.25;11129
1;naval_base;2723.00;9.73;1970.00;-2.90;11129
1;naval_base;2758.00;9.75;1995.00;-2.90;11129
1;naval_base;2769.00;9.70;1995.00;-3.39;11129
1;bunker;2754.00;10.18;1972.00;3.00;0
1;bunker;2758.00;10.00;1982.00;0.84;0
1;bunker;2752.00;9.98;1980.00;2.40;0
1;bunker;2738.00;10.18;1963.00;5.07;0
1;bunker;2750.00;9.82;1992.00;1.45;0
1;bunker;2728.00;9.80;1972.00;4.47;0
1;bunker;2764.00;9.80;1992.00;0.85;0
1;coastal_bunker;2745.00;9.75;1990.00;-2.25;0
1;coastal_bunker;2723.00;9.73;1970.00;-2.90;0
1;coastal_bunker;2746.00;9.50;1994.00;-2.90;0
1;coastal_bunker;2769.00;9.70;1995.00;-3.39;0
1;dockyard;2758.00;9.75;1995.00;-2.90;0
1;anti_air_building;2765.00;10.18;1973.00;6.08;0
1;anti_air_building;2769.00;9.78;1989.00;6.18;0
1;anti_air_building;2735.00;10.05;1970.00;4.02;0
1;synthetic_refinery;2738.00;10.00;1973.00;0.41;0
1;fuel_silo;2747.00;9.95;1981.00;3.07;0
1;radar_station;2749.00;10.03;1976.00;1.67;0
1;rocket_site;2752.00;9.88;1988.00;2.47;0
1;nuclear_reactor;2764.00;9.80;1991.00;5.13;0
2;arms_factory;3777.00;10.48;1904.00;0.26;0
2;arms_factory;3793.00;9.95;1917.00;3.28;0
2;arms_factory;3789.00;10.10;1913.00;5.95;0
2;arms_factory;3813.00;10.00;1916.00;2.33;0
